Event,Result,FirstMove,NumberOfMoves,WhiteElo,BlackElo
2017,D,e4c6,26,2313,2217
2018,W,e4Nf6,39,2081,2272
2019,W,e4c5,57,2180,2419
2020,W,d4d5,37,2251,2362
2021,W,e4e6,52,2364,2362
2022,W,Nf3d5,61,2499,2254
2023,W,e4Nc6,34,1905,1666
2024,D,d4g6,26,2498,2471
2025,W,d4Nf6,41,2437,2294
2026,W,d4d5,32,2724,2672
2027,B,d4Nf6,39,2020,2155
2028,D,e4c5,43,2156,2401
2029,B,e4c5,34,1599,1915
2030,W,e4e6,25,2170,2083
2031,W,e4c5,58,2001,2281
2032,D,d4d6,57,2437,2292
2033,W,e4c6,21,2366,2443
2034,W,d4g6,42,2307,1909
2035,D,d4e6,41,2361,2360
2036,W,d4Nf6,15,2003,1657
2037,D,e4d5,13,2396,2309
2038,D,d4g6,25,2270,2409
2039,W,e4c5,41,2594,2320
2040,W,d4Nf6,45,2282,1977
2041,W,e4b6,37,2362,2039
2042,B,e4g6,58,2443,2636
2043,B,Nf3Nf6,46,2342,2245
2044,D,d4d5,42,2089,1967
2045,W,e4d5,65,2381,2103
2046,B,d4Nf6,24,2263,2011
2047,D,Nf3Nf6,12,2095,2410
2048,D,e4e5,41,1552,1487
2049,D,d4d5,76,2249,2113
2050,W,d4Nf6,30,2363,2426
2051,W,Nf3d5,41,2505,2196
2052,B,Nf3Nf6,45,1880,2207
2053,W,c4g6,45,2432,2286
2054,W,e4e6,29,2349,2154
2055,D,d4Nf6,40,2448,2359
2056,W,d4Nf6,26,2391,2187
2057,D,e4c6,31,2205,2320
2058,B,e4e6,56,1786,2176
2059,B,d4Nf6,30,1590,1641
2060,D,d4Nf6,14,2004,2357
2061,B,c4Nf6,52,2104,1967
2062,W,e4c5,32,2597,2374
2063,B,Nf3Nf6,29,2169,2237
2064,W,Nf3c5,21,2301,2350
2065,W,e4c5,68,2389,2017
2066,B,d4Nf6,42,2214,2080
2067,B,e4c6,66,1570,1851
2068,W,e4d6,55,1832,1551
2069,D,Nf3Nf6,48,2592,2531
2070,B,g3d5,32,1683,2086
2071,B,Nf3f5,24,1982,2330
2072,W,e4d5,61,2381,2457
2073,W,d4d5,50,2344,1988
2074,D,d4Nf6,18,2274,2338
2075,B,e4c5,43,1791,1938
2076,W,d4Nf6,21,2443,2416
2077,W,e4c5,40,2056,2267
2078,W,c4Nf6,50,2678,2628
2079,B,c4e6,18,2536,2316
2080,B,d4d5,24,2108,2331
2081,B,e4c6,47,1835,1945
2082,W,e4e5,31,2248,1738
2083,W,e4c5,71,2019,1841
2084,D,c4Nf6,40,2731,2756
2085,W,d4Nf6,58,2624,2526
2086,W,d4Nf6,33,2531,2554
2087,B,d4Nf6,54,2503,2385
2088,W,e4e6,22,2253,2137
2089,W,Nf3Nf6,46,2068,1884
2090,D,e4e6,26,2106,1986
2091,D,d4d5,16,2367,2310
2092,B,e4e5,40,1886,2204
2093,W,d4c5,45,2397,2190
2094,D,e4e5,5,2251,2080
2095,B,e4c5,52,2267,2416
2096,B,c4Nf6,31,2598,2558
2097,D,Nf3d5,11,2303,2449
2098,W,c4e5,42,2316,2074
2099,D,e4c5,6,2212,2031
2100,W,Nf3d5,32,2222,2099
2101,W,Nf3g6,36,2422,2204
2102,W,d4Nf6,32,2373,2136
2103,B,e4e5,37,2363,2479
2104,B,e4d6,38,2017,1792
2105,D,Nf3d5,24,2066,2254
2106,D,Nf3Nf6,32,2517,2551
2107,D,e4c5,54,2089,2323
2108,D,d4Nf6,8,2394,2396
2109,B,e4Nf6,32,1747,1842
2110,W,d4Nf6,44,2679,2771
2111,B,e4c6,35,2372,2427
2112,W,e4c5,43,1995,1805
2113,D,e4d6,32,2187,2307
2114,W,e4c5,32,2037,2047
2115,W,c4g6,99,2346,2444
2116,D,e4e5,48,2397,2298
2117,B,Nf3Nf6,38,2024,2082
2118,W,d4Nf6,27,2346,2537
2119,D,e4c5,58,2201,2307
2120,W,d4Nf6,34,2276,2065
2121,W,d4e6,76,2367,2332
2122,W,d4d5,25,1655,1950
2123,W,Nf3c6,71,2061,2081
2124,B,d4Nf6,31,1940,2162
2125,D,e4e5,23,2534,2645
2126,B,e4d5,44,1849,2083
2127,D,e4c5,61,2155,2010
2128,D,e4c5,43,2440,2395
2129,D,c4e5,15,2586,2523
2130,W,e4c5,41,1976,1719
2131,W,e4Nf6,26,1982,1788
2132,B,d4d5,63,2017,2082
2133,W,d4d5,27,2361,2383
2134,W,e4e5,31,2053,1774
2135,B,c4e5,51,1962,2225
2136,W,e4e5,41,2491,2358
2137,B,Nf3Nf6,38,2356,2494
2138,D,e4c5,42,2491,2688
2139,B,d4d5,32,2527,2597
2140,B,c4e5,66,1813,2000
2141,B,d4Nf6,57,2248,2141
2142,D,d4d5,38,2396,2520
2143,D,e4Nf6,39,2235,2416
2144,D,c4e5,20,2184,1994
2145,W,d4Nf6,22,2059,1808
2146,B,Nf3Nf6,33,2095,1898
2147,B,d4d5,38,2181,2538
2148,B,Nf3d5,73,2177,2166
2149,D,Nf3Nf6,13,2437,2516
2150,W,c4e5,34,2422,2125
2151,W,d4Nf6,35,2162,2365
2152,W,d4Nf6,38,2636,2294
2153,B,e4e6,22,2182,2426
2154,D,c4e5,45,2233,2087
2155,B,e4e6,25,2065,1947
2156,W,e4c5,21,2288,2248
2157,B,e4c5,40,1746,2069
2158,W,d4d5,25,2253,2120
2159,D,e4d6,11,1936,1743
2160,D,e4e5,33,2546,2703
2161,D,d4Nf6,26,2560,2459
2162,W,d4c5,40,2332,2166
2163,B,d4Nf6,27,2229,2425
2164,W,c4Nf6,37,2420,2128
2165,W,d4d5,34,2101,2416
2166,B,d4d5,44,2119,2107
2167,B,e4e6,39,2067,2313
2168,D,e4c6,42,2198,2058
2169,D,e4e5,18,2508,2514
2170,D,e4c5,20,2232,2377
2171,B,c4e6,29,2308,2526
2172,B,c4e6,56,2168,2310
2173,W,d4Nf6,34,2065,1499
2174,B,e4c5,54,1855,2090
2175,B,d4Nf6,68,2391,2469
2176,D,d4Nf6,38,2630,2563
2177,D,e4c5,16,2212,2290
2178,W,c4e6,35,2785,2632
2179,B,c4e5,35,1956,2589
2180,B,e4c5,65,2228,2316
2181,D,e4e5,42,2514,2399
2182,B,c4e5,45,1941,1957
2183,D,d4Nf6,21,2506,2489
2184,B,Nf3d6,43,2154,2243
2185,W,d4Nf6,60,2101,1950
2186,W,e4c6,25,2372,2204
2187,B,e4c5,47,2004,2069
2188,D,d4Nf6,36,2547,2555
2189,W,d4d5,29,2501,2069
2190,W,e4e6,28,2113,1990
2191,D,d4d5,43,2397,2294
2192,W,e4c5,44,2284,2112
2193,D,e4c5,42,2448,2524
2194,B,e4c5,25,2217,2526
2195,B,e4e5,30,2270,2493
2196,D,d4d5,20,2469,2507
2197,D,d4d5,83,2368,2486
2198,W,Nf3d5,40,2071,1820
2199,D,e4e5,53,2132,2090
2200,W,e4e5,31,2446,2154
2201,W,e4c6,29,2439,1952
2202,D,d4f5,10,2409,2414
2203,W,e4e5,32,1927,2116
2204,W,d4Nf6,64,2527,2421
2205,D,e4e5,39,2417,2580
2206,B,e4d6,75,2530,2649
2207,W,d4e6,42,2669,2141
2208,W,e4c5,50,2417,2398
2209,D,e4c5,53,2387,2597
2210,D,e4e5,34,2595,2630
2211,B,d4Nf6,55,1891,2098
2212,B,e4c5,33,2192,2654
2213,B,e4c5,35,2053,2453
2214,D,c4c6,58,2611,2535
2215,W,e4e6,48,2244,2078
2216,B,e4c5,36,2420,2589
2217,B,e4c5,28,2054,2367
2218,D,e4e6,52,1842,1584
2219,W,Nf3e6,53,2350,2020
2220,B,d4Nf6,32,2193,2325
2221,D,e4e5,92,2179,2307
2222,W,Nf3Nf6,29,2446,2242
2223,B,Nf3d5,50,2522,2615
2224,D,d4d6,63,2353,2429
2225,W,e4e6,32,2161,1886
2226,W,d4d5,57,2328,2308
2227,W,d4d5,113,2115,1753
2228,W,e4c5,12,2092,2211
2229,D,e4e5,33,2382,2175
2230,B,d4f5,26,2267,2619
2231,W,d4c5,34,2289,2373
2232,W,Nf3d5,33,1920,1655
2233,W,e4Nc6,64,2481,2216
2234,W,d4Nf6,60,2396,2127
2235,D,e4e6,20,2525,2353
2236,D,d4Nf6,41,2237,2540
2237,D,e4e5,47,2080,1955
2238,D,Nf3d5,88,2639,2557
2239,W,Nf3Nf6,69,2470,2221
2240,D,d4Nf6,71,2280,2215
2241,W,d4e6,33,2623,2327
2242,W,e4e5,111,2549,2390
2243,W,Nf3Nf6,42,2422,2327
2244,B,e4c5,64,2155,2442
2245,D,e4e5,34,2637,2500
2246,W,c4e6,7,2058,1700
2247,W,e4c5,34,2015,2191
2248,D,d4d5,10,2516,2712
2249,W,e4g6,53,2187,2290
2250,W,e4e6,37,2632,2547
2251,W,d4d5,35,2422,2246
2252,D,d4Nf6,17,2134,1994
2253,D,d4Nf6,41,2435,2595
2254,B,e4e5,42,2375,2231
2255,D,d4Nf6,55,2302,2532
2256,B,e4d5,28,2019,2217
2257,D,d4d5,71,2608,2345
2258,W,e4e5,45,2363,2244
2259,B,e4c5,27,2149,2165
2260,D,d4Nf6,67,2123,2356
2261,W,e4b6,14,2194,2008
2262,D,d4d5,46,2525,2362
2263,W,b3e5,26,2096,2321
2264,B,e4c5,45,2071,2297
2265,D,d4Nf6,54,2463,2618
2266,W,d4d5,29,2287,2148
2267,D,e4c5,49,2006,2190
2268,W,e4e5,28,2336,2235
2269,D,e4e5,15,2469,2358
2270,D,e4c5,30,2476,2384
2271,D,e4Nf6,27,2014,1826
2272,W,d4Nf6,44,2518,2365
2273,W,Nf3d5,25,2560,2431
2274,D,d4d5,11,2538,2520
2275,B,c4e5,37,1945,1796
2276,W,e4e5,27,2446,2233
2277,B,e4e6,58,2246,2036
2278,D,d4Nf6,71,2471,2557
2279,W,d4e6,31,2412,2100
2280,B,d4Nf6,21,1936,1404
2281,B,e4e6,44,2285,2423
2282,B,e4e5,36,2251,2485
2283,D,d4Nf6,34,2541,2618
2284,W,d4Nf6,29,2467,2194
2285,D,d4Nf6,36,2410,2472
2286,W,d4Nf6,42,2531,2462
2287,W,e4e6,30,2195,2199
2288,D,b4e5,24,2397,2343
2289,W,e4c5,29,1927,1974
2290,B,e4c5,57,2346,2481
2291,B,c4Nf6,48,2183,2469
2292,W,c4c5,56,1651,1435
2293,B,Nf3d5,37,1864,2115
2294,D,d4d5,42,2392,2588
2295,D,Nf3Nf6,14,2239,2388
2296,W,d4Nf6,32,2409,2258
2297,B,d4Nf6,45,2483,2457
2298,D,c4c6,58,2244,2063
2299,W,e4e5,57,2397,2246
2300,W,e4c5,39,2458,2372
2301,W,e4d6,44,2111,2243
2302,W,e4c5,48,2274,2332
2303,W,d4d5,40,2397,2606
2304,D,d4Nf6,59,2455,2615
2305,D,e4e5,11,2275,2205
2306,D,d4Nf6,32,2469,2454
2307,W,d4d5,24,2092,1930
2308,D,Nf3Nf6,25,2339,2127
2309,D,d4Nf6,42,2554,2240
2310,W,d4d5,41,2451,2345
2311,B,e4c5,33,2222,2425
2312,W,d4Nf6,34,2345,2139
2313,D,d4Nf6,55,2326,2652
2314,D,d4d5,48,2204,1980
2315,D,d4Nf6,39,2761,2826
2316,D,e4c5,10,2355,2372
2317,B,d4Nf6,42,1884,2313
2318,W,Nf3d6,41,2404,2170
2319,D,d4d5,83,2599,2388
2320,D,Nf3g6,49,2479,2360
2321,W,c4e6,32,2073,1915
2322,W,e4e6,51,2235,2027
2323,W,e4c5,54,2109,2274
2324,B,d4Nf6,52,1287,1484
2325,B,d4d5,38,2138,1916
2326,W,e4d6,25,2436,2224
2327,D,e4c5,84,2174,2026
2328,B,e4c6,33,2171,2186
2329,D,Nf3c5,35,2002,2262
2330,D,d4Nf6,18,1691,1955
2331,W,d4Nf6,32,2499,2158
2332,W,d4d5,27,2296,2396
2333,B,d4Nf6,26,2211,2281
2334,D,d4Nf6,41,2242,2453
2335,D,d4Nf6,42,2398,2310
2336,W,e4c5,28,1981,2073
2337,W,e4c6,34,2042,2273
2338,B,d4d5,38,2148,2401
2339,D,d4d5,55,2304,2404
2340,D,e4c5,42,2156,2380
2341,W,e4e5,34,2089,2346
2342,W,d4g6,65,2123,2234
2343,W,d4d5,32,1896,1563
2344,B,e4e6,56,2058,2009
2345,D,e4g6,65,2107,2001
2346,D,d4d5,14,2362,2404
2347,W,Nf3c5,45,2803,2774
2348,D,Nf3Nf6,77,2337,2176
2349,D,f4g6,45,1817,2121
2350,W,e4c5,28,2485,1693
2351,W,d4e6,45,2782,2683
2352,W,e4d5,46,2707,2338
2353,B,d4Nf6,55,2203,2287
2354,W,d4Nf6,58,2484,2301
2355,W,e4e5,70,1912,1704
2356,D,e4c6,28,2370,2630
2357,B,d4Nf6,27,1919,2119
2358,D,e4e6,57,1884,1712
2359,W,d4Nf6,47,2078,1831
2360,D,d4Nf6,60,1927,2094
2361,B,d4Nf6,23,1928,2002
2362,W,c4Nf6,48,2387,2559
2363,D,e4c5,22,2244,2080
2364,B,c4c5,38,1768,2078
2365,W,d4d5,48,2141,2246
2366,B,d4g6,39,2226,2613
2367,W,d4Nf6,45,2396,2253
2368,B,g3e5,18,1682,2071
2369,B,c4g6,26,2208,2545
2370,B,e4c5,48,2449,2599
2371,W,c4c6,24,2344,2320
2372,W,d4Nf6,30,2340,2384
2373,W,e4c6,28,2179,1989
2374,B,d4d5,62,1959,2426
2375,D,e4g6,35,2265,2532
2376,W,e4c5,36,2383,2008
2377,D,e4e5,46,2087,1954
2378,B,e4c5,57,1867,2144
2379,W,e4e6,36,2266,2101
2380,D,e4c5,30,2221,2292
2381,D,g3e5,38,2281,2052
2382,W,d4g6,40,2351,2074
2383,W,e4e6,45,2434,2335
2384,W,d4d5,70,2022,2196
2385,D,e4e5,26,1911,2201
2386,D,d4d5,30,1805,2025
2387,D,d4d5,19,2525,2596
2388,B,e4c5,24,1925,2422
2389,B,d4Nf6,38,2192,2367
2390,D,d4Nf6,42,2384,2573
2391,D,e4c5,27,2253,2347
2392,W,e4g6,51,2186,2125
2393,B,e4c5,35,2287,2536
2394,D,d4d5,49,1595,1446
2395,W,e4e6,74,2555,2449
2396,W,d4d5,43,2445,2110
2397,D,c4g6,32,2200,2321
2398,W,d4Nf6,46,2285,2072
2399,D,e4e6,54,2116,2356
2400,W,e4e5,29,2676,2417
2401,B,e4e5,48,2342,2354
2402,B,e4c5,38,2052,1952
2403,D,Nf3Nf6,9,2613,2610
2404,D,d4d5,66,2121,2056
2405,W,e4e5,53,1888,1611
2406,W,d4Nf6,80,2632,2518
2407,D,e4c5,31,2203,2093
2408,D,c4f5,17,2228,1965
2409,D,d4Nf6,26,2535,2641
2410,W,e4e6,28,2300,2270
2411,W,d4Nf6,74,1984,1979
2412,B,e4c5,37,2025,2228
2413,D,d4Nf6,35,2160,2325
2414,D,d4Nf6,33,2580,2438
2415,D,e4d6,60,2216,2378
2416,W,e4e5,44,2722,2331
2417,D,d4Nf6,43,2462,2288
2418,B,e4e5,57,2657,2680
2419,B,d4Nf6,79,2091,2441
2420,W,d4Nf6,27,2270,2114
2421,D,d4c5,17,2059,2218
2422,D,Nf3Nf6,11,2087,2009
2423,D,Nf3Nf6,60,2560,2596
2424,W,e4c5,28,2648,2388
2425,W,d4Nc6,53,2518,2449
2426,B,e4c5,41,2110,2664
2427,W,c4Nf6,27,2645,2604
2428,D,e4c6,69,2430,2550
2429,W,Nf3d5,17,1994,1485
2430,W,e4e6,60,2417,2429
2431,B,e4e5,31,1929,2204
2432,W,e4c5,47,2085,1955
2433,W,d4d5,61,2472,2521
2434,W,d4Nf6,53,2396,1978
2435,B,Nf3d5,27,1769,2620
2436,B,d4Nf6,31,2251,2086
2437,W,e4c5,63,2219,2163
2438,B,b3d5,36,2775,2681
2439,W,e4c5,48,2706,2428
2440,B,e4d5,53,2354,2556
2441,D,d4d5,29,2737,2579
2442,D,e4g6,20,2336,2205
2443,W,e4c5,22,2034,1852
2444,W,e4c6,13,2193,1792
2445,B,Nf3Nf6,36,2449,2702
2446,W,e4c5,23,2180,2075
2447,D,e4e5,32,2407,2532
2448,B,d4Nf6,38,2278,2403
2449,B,e4d6,12,2114,2194
2450,D,c4c6,7,2379,2441
2451,W,e4e6,50,2741,2775
2452,W,e4c5,49,2498,2285
2453,D,d4d6,47,2345,2509
2454,B,d4e6,31,1737,1852
2455,W,e4c5,34,1848,1573
2456,W,d4d5,32,1845,1802
2457,B,d4d6,58,2098,2414
2458,W,e4c5,67,2104,1993
2459,D,e4e5,38,2468,2429
2460,D,e4e5,41,2546,2589
2461,B,e4c5,50,1733,2223
2462,W,Nf3Nf6,31,2026,1941
2463,B,d4d5,42,1573,2064
2464,D,d4d5,23,2557,2406
2465,D,d4d5,52,2368,2259
2466,W,d4Nf6,34,1788,2306
2467,W,d4Nf6,29,2620,2598
2468,D,d4Nf6,20,2421,2352
2469,W,e4c5,40,2472,2410
2470,W,e4c6,26,2215,2227
2471,W,c4e5,60,2255,2087
2472,B,e4c5,60,1846,1698
2473,W,e4c6,64,2240,2179
2474,W,e4e6,27,2249,2420
2475,B,e4c5,51,2152,2419
2476,W,e4e5,49,2438,2255
2477,B,e4c5,29,2150,2051
2478,D,e4e6,17,2185,2092
2479,B,e4Nf6,39,1796,2280
2480,D,Nf3Nf6,39,2083,1897
2481,D,Nf3d5,27,2479,2396
2482,W,d4d6,32,2136,2320
2483,B,e4c5,55,2093,2235
2484,D,e4e6,41,2638,2520
2485,B,d4Nf6,58,2179,2600
2486,D,e4e5,14,2315,2418
2487,W,c4Nf6,39,2186,1994
2488,W,d4e6,23,2600,2498
2489,B,d4Nf6,46,2296,2519
2490,B,e4c5,42,2214,2486
2491,W,Nf3Nf6,36,2339,2006
2492,B,d4d5,57,1553,1883
2493,B,e4d5,17,1857,2273
2494,W,d4d5,26,2502,2651
2495,B,e4c5,30,2080,2285
2496,W,e4e5,30,2393,2407
2497,D,d4Nf6,23,2211,2116
2498,W,e4c5,35,1701,1846
2499,D,d4d5,38,2451,2416
2500,B,e4c5,30,1813,2116
2501,D,c4e5,57,1889,2125
2502,W,e4c6,71,2290,2088
2503,D,d4Nf6,30,2452,2242
2504,W,d4Nf6,52,2448,2206
2505,D,c4e5,62,1939,2218
2506,B,Nf3Nf6,70,2771,2616
2507,D,d4Nf6,39,2403,2471
2508,B,f4d5,66,1747,1487
2509,W,e4c5,31,2111,1903
2510,W,d4Nf6,59,2438,2313
2511,B,e4e5,46,1919,2026
2512,B,d4d5,59,2036,2261
2513,D,Nf3g6,20,2329,2514
2514,W,c4e5,33,2358,2048
2515,D,e4e5,47,1920,1687
2516,W,d4d5,45,2353,2353
2517,D,c4c5,42,2053,1879
2518,W,e4e6,39,2251,2235
2519,D,d4d5,60,2268,2122
2520,D,Nf3Nf6,49,2638,2473
2521,W,d4Nf6,29,2159,2236
2522,D,e4Nf6,52,2219,2471
2523,W,d4Nf6,64,2026,2306
2524,B,d4f5,26,2006,2356
2525,W,d4Nf6,55,2481,2473
2526,W,d4Nf6,57,2487,2312
2527,W,g3c5,48,2321,2198
2528,D,d4e6,45,2137,2282
2529,B,c4e5,32,2044,2348
2530,B,e4Nf6,59,2278,2279
2531,W,d4d5,44,2605,2487
2532,W,e4c6,56,2018,1918
2533,D,e4e6,39,2082,2173
2534,W,d4e6,28,2643,2502
2535,B,Nf3g6,37,2255,2203
2536,B,e4g6,25,1878,2520
2537,W,d4Nf6,42,2360,2391
2538,B,g3d5,48,2245,2421
2539,B,e4e6,42,2316,2075
2540,B,d4Nf6,41,1924,2398
2541,B,d4Nf6,40,2477,2382
2542,W,c4Nf6,47,2287,2098
2543,W,d4d5,28,2572,2190
2544,D,c4Nf6,58,2320,2443
2545,B,Nf3d5,33,1654,1757
2546,W,d4d5,22,2429,2455
2547,D,d4Nf6,21,2259,2462
2548,B,e4e5,40,2377,2244
2549,W,d4d5,27,2510,2273
2550,B,e4e5,29,2021,2273
2551,B,d4Nf6,37,2410,2394
2552,W,e4c6,54,2236,2460
2553,W,e4c5,83,2039,2326
2554,B,d4Nf6,46,2120,2291
2555,W,e4c5,31,1880,1931
2556,D,d4Nf6,40,2532,2687
2557,B,d4Nf6,26,2531,2610
2558,W,d4Nf6,43,2579,1939
2559,B,e4c5,58,1633,1921
2560,D,d4d5,11,2193,2168
2561,B,e4c5,51,2121,2282
2562,B,d4d5,53,2553,2418
2563,W,d4Nf6,44,2516,2346
2564,D,e4c5,37,2008,2098
2565,D,c4e6,13,2239,2496
2566,D,Nf3Nf6,25,2525,2788
2567,B,e4c6,60,2352,2526
2568,B,e4e6,59,2063,2255
2569,W,d4Nf6,55,2481,2085
2570,B,e4c5,35,2458,2485
2571,D,e4e6,46,2469,2471
2572,B,d4Nf6,34,2501,2655
2573,D,e4Nf6,62,2307,2161
2574,D,Nf3c5,28,2534,2496
2575,W,d4d6,47,2478,2428
2576,B,e4c5,46,2341,2565
2577,W,d4Nf6,40,2298,2023
2578,W,d4Nf6,29,2368,2279
2579,B,d4Nf6,21,1970,2517
2580,W,d4g6,20,2335,1957
2581,D,d4d5,5,2242,2274
2582,W,Nf3e6,32,2145,1921
2583,D,e4e6,60,1967,2244
2584,B,d4Nf6,32,2132,2413
2585,D,e4c5,33,2401,2226
2586,B,e4e6,37,1941,1892
2587,B,Nf3Nf6,45,2653,2707
2588,W,d4Nf6,28,2203,1811
2589,D,e4c5,31,1897,2039
2590,W,d4d6,13,2646,1697
2591,D,c4Nf6,35,2242,2098
2592,B,d4e6,42,2406,2667
2593,D,d4Nf6,40,2299,2228
2594,D,d4Nf6,46,2541,2424
2595,B,e4c5,47,2070,2543
2596,W,d4Nf6,38,2567,2343
2597,W,d4g6,34,2723,2510
2598,W,e4e6,54,2361,2147
2599,D,d4d5,47,2482,2253
2600,B,e4c6,48,2722,2712
2601,B,e4c5,59,1467,2119
2602,D,e4c6,27,2259,2339
2603,W,e4g6,27,2120,2209
2604,D,e4e5,28,2311,2371
2605,W,e4c5,28,2324,2387
2606,W,e4e5,31,1766,1887
2607,D,e4c5,62,2402,2400
2608,W,d4Nf6,28,2205,1828
2609,B,e4c5,39,2267,2327
2610,B,c4c6,32,2398,2371
2611,D,d4Nf6,34,2538,2622
2612,D,d4Nf6,36,2370,2426
2613,W,e4c5,25,2306,1950
2614,B,d4Nf6,35,2158,2411
2615,D,d4d5,50,2201,2231
2616,D,d4Nf6,42,2442,2121
2617,W,d4Nf6,30,2229,2358
2618,D,d4d5,29,2589,2598
2619,W,d4d5,58,1912,2228
2620,W,d4Nf6,42,1636,1940
2621,D,e4e5,55,2044,2129
2622,D,d4d5,13,2110,2005
2623,W,e4c6,22,2431,2303
2624,W,e4d6,36,2223,2234
2625,B,Nf3b5,29,2288,2600
2626,W,e4e5,47,2066,2264
2627,B,e4d6,44,1982,2523
2628,W,d4Nf6,38,2680,2548
2629,W,Nf3f5,56,2459,2170
2630,W,c4e6,71,2664,2683
2631,B,e4d5,77,1931,2334
2632,D,e4e6,22,2372,2405
2633,D,e4c5,39,2730,2721
2634,B,d4d6,29,2457,2594
2635,W,Nf3Nf6,85,2423,2277
2636,B,e4c5,62,1875,2133
2637,D,d4e6,37,2546,2512
2638,B,e4e5,44,2518,2434
2639,W,f4Nf6,30,1991,2040
2640,W,e4c5,30,2449,2477
2641,B,e4e5,52,1616,1835
2642,D,e4g6,24,2420,2563
2643,D,d4Nf6,40,2544,2471
2644,B,e4e6,41,1975,2244
2645,W,e4c5,33,2434,2256
2646,W,e4d6,53,2025,2181
2647,W,d4f5,57,1683,1824
2648,B,Nf3d5,37,2739,2772
2649,D,Nf3Nf6,57,2413,2208
2650,B,d4d5,62,2620,2693
2651,B,e4c5,45,2273,2528
2652,D,d4Nf6,74,2463,2528
2653,D,d4Nf6,20,2390,2550
2654,B,d4Nf6,27,2278,2476
2655,B,d4e6,41,2475,2443
2656,W,e4e5,47,2214,1922
2657,B,e4e6,32,2051,2273
2658,B,d4Nf6,34,2196,2685
2659,D,c4Nf6,49,2544,2549
2660,W,d4Nf6,52,2518,2370
2661,B,e4c5,32,2159,2078
2662,D,Nf3Nf6,9,2500,2320
2663,W,e4c5,34,2227,2114
2664,D,Nf3d5,29,2419,2468
2665,D,d4e6,49,1610,1953
2666,W,e4c5,27,2470,2045
2667,W,d4f5,40,1658,1628
2668,D,d4Nf6,29,2461,2575
2669,W,e4d6,46,1841,1534
2670,W,d4d5,43,2635,2527
2671,D,d4Nf6,73,2701,2587
2672,D,d4f5,57,2394,2296
2673,B,d4d6,32,2088,2328
2674,D,e4e6,22,2446,2424
2675,W,Nf3Nf6,37,2462,1995
2676,B,e4c5,39,1744,2081
2677,D,d4d5,80,2300,2149
2678,W,e4c5,36,2025,2171
2679,D,e4c5,45,2418,2482
2680,D,Nf3Nf6,32,2552,2416
2681,B,Nf3Nf6,29,1981,2618
2682,B,Nf3Nc6,25,2194,2388
2683,B,d4Nf6,46,2297,2487
2684,W,Nf3g6,52,2556,2348
2685,B,Nf3d5,45,2145,2426
2686,D,d4Nf6,50,2420,2464
2687,D,d4Nf6,41,2528,2524
2688,D,d4d5,43,2223,2415
2689,B,e4g6,35,2076,2199
2690,B,e4c5,16,2150,2560
2691,D,e4c6,111,2437,2301
2692,D,e4c5,41,1738,1806
2693,W,Nf3c5,37,2607,2579
2694,B,d4Nf6,45,1659,1896
2695,B,c4c6,17,2558,2620
2696,B,c4e6,17,2402,2438
2697,W,e4c5,27,2172,1986
2698,B,c4Nf6,59,2548,2641
2699,B,d4d5,42,2183,2310
2700,B,Nf3d6,30,2311,2423
2701,B,d4e6,25,1953,1726
2702,B,e4c5,52,1626,2368
2703,W,c4e5,57,1796,1755
2704,B,Nf3Nf6,68,1787,2257
2705,D,e4e6,47,2397,2521
2706,W,c4e5,29,2593,2588
2707,W,e4Nf6,24,2290,1791
2708,B,e4e5,55,1990,2349
2709,B,e4b6,53,1741,2071
2710,B,e4c6,59,2353,2426
2711,W,d4Nf6,67,2087,2470
2712,B,e4c5,59,2298,2477
2713,D,e4e5,35,2076,1954
2714,W,d4d5,26,2616,2366
2715,D,e4c5,49,1786,1792
2716,W,d4d5,58,2591,2297
2717,D,g3g6,11,2515,2529
2718,D,e4e5,38,2067,1926
2719,B,d4Nf6,80,2452,2602
2720,W,d4Nf6,30,2397,2495
2721,D,d4Nf6,70,2626,2710
2722,W,d4d5,59,2495,2117
2723,B,e4Nf6,23,2063,2092
2724,W,e4c6,46,2556,2453
2725,B,d4Nf6,31,2132,2599
2726,D,e4e5,15,2047,2144
2727,B,g3Nf6,51,1737,1743
2728,B,Nf3d5,48,2590,2367
2729,B,e4c5,19,1279,1813
2730,W,Nf3c5,36,2158,1955
2731,B,e4e5,37,1923,1820
2732,D,e4c5,108,2319,2404
2733,B,c4f5,65,2347,2366
2734,B,e4e5,51,2231,2310
2735,D,e4e5,66,2329,2101
2736,W,e4d5,26,2471,2097
2737,D,e4c5,41,1831,1969
2738,B,c4Nf6,56,2169,2271
2739,W,e4e6,32,2094,2284
2740,W,e4e5,38,2617,2295
2741,B,Nf3b6,46,2390,2548
2742,D,e4e5,40,2233,2121
2743,B,e4e5,56,1627,1326
2744,D,Nf3d5,17,2394,2325
2745,B,d4Nf6,55,2177,2058
2746,W,Nf3Nf6,44,2310,2282
2747,B,e4c5,37,2036,2245
2748,B,d4d5,38,1417,1764
2749,D,e4g6,66,2410,2440
2750,W,e4e5,61,2588,2254
2751,D,e4c5,20,2260,2340
2752,W,e4e5,51,2563,2467
2753,W,e4e5,59,2262,2120
2754,B,d4Nf6,68,2322,2396
2755,D,e4e5,43,2344,2464
2756,B,d4d5,46,2547,2419
2757,W,d4d5,24,2124,1746
2758,D,Nf3g6,28,1995,2174
